Name,player_id,year,ab,k_percent,bb_percent,xba,xslg,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,team_abbrev,xhr,xhr_rate,PC1,PC2,PC3,PC4
"Romano, Jordan",605447,2024,56,21.0,6.5,0.312,0.598,0.407,0.503,43.2,13.6,9.1,27.3,25.0,22.7,2.3,50.0,95.639505116,64.0,11.0,29.7,56.7,TOR,2.6,0.04642857142857143,6.355928717859616,-0.7897034906179617,2.2118164002653344,-0.41489798639546294
"Mercado, Michael",675650,2024,54,15.6,14.1,0.274,0.71,0.454,0.504,45.5,22.7,11.4,11.4,29.5,25.0,0.0,47.7,95.390348182,71.5,17.3,16.3,35.0,PHI,8.4,0.15555555555555556,9.774547400469395,-4.819304035928091,-0.8304790069249367,5.013956760467335
"Hudson, Dakota",641712,2024,346,12.1,12.4,0.291,0.45,0.37,0.372,31.7,6.3,5.7,28.0,18.7,35.3,5.3,42.0,94.869387534,63.6,11.1,21.6,39.3,COL,9.5,0.02745664739884393,2.4079964059011307,3.0341285786667633,-0.45822246917729265,1.4209495096010836
"Barnes, Matt",598264,2024,55,16.7,6.7,0.3,0.503,0.367,0.42,35.6,8.9,4.4,35.6,24.4,24.4,2.2,42.2,94.563877556,70.0,12.9,27.0,37.8,WSH,1.6,0.02909090909090909,3.586383036685068,0.9916716764522598,-0.232824830489137,-1.7135046967246719
"Rodriguez, Carlos",692230,2024,52,15.8,5.3,0.327,0.496,0.375,0.431,46.7,4.4,8.9,35.6,26.7,20.0,4.4,37.8,93.102164318,72.7,13.8,27.6,32.4,MIL,2.7,0.051923076923076926,4.0109840215135,-0.042868380579224985,-1.8512779545319575,-3.4983820453050787
"Montero, Keider",672456,2024,378,18.7,7.5,0.284,0.457,0.349,0.399,34.6,7.6,5.3,28.9,26.9,29.2,2.0,37.9,93.862829269,67.4,13.4,26.6,44.8,DET,16.3,0.04312169312169312,1.9232588156133812,0.5754395893841616,-0.582434934903024,-0.4611343038066793
"Cisnero, José",542585,2024,62,23.0,10.8,0.273,0.478,0.374,0.442,31.9,8.5,8.5,29.8,17.0,27.7,8.5,40.4,94.471597174,72.5,20.4,24.0,39.0,LAA,2.5,0.04032258064516129,2.5578446621758353,0.17396712900317862,0.46419205550217557,-0.13386191761284322
"Holman, Grant",680880,2024,63,21.9,12.3,0.223,0.286,0.28,0.297,29.8,0.0,4.3,29.8,31.9,29.8,4.3,25.5,92.355334894,74.6,17.6,27.1,50.0,OAK,1.0,0.015873015873015872,-3.872791056496249,0.27433884885948134,-1.8278916355503618,-0.8685749809178961
"Merryweather, Julian",657240,2024,61,18.9,12.2,0.278,0.431,0.366,0.391,39.6,4.2,10.4,37.5,20.8,22.9,2.1,53.2,95.644192766,70.6,12.5,23.5,59.4,CHC,0.2,0.003278688524590164,3.232831940381277,1.0362114440411703,2.9846550248673664,-1.0565066499489812
"Rodríguez, Joely",570257,2024,60,18.8,3.1,0.287,0.446,0.338,0.399,34.7,10.2,4.1,24.5,8.2,42.9,10.2,28.6,93.184603469,60.3,14.1,32.4,34.3,BOS,2.9,0.04833333333333333,0.49674513110149415,3.0525275051155103,-1.4076450850372275,-0.7842186554210968
