Name,player_id,year,ab,k_percent,bb_percent,xba,xslg,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,team_abbrev,xhr,xhr_rate,PC1,PC2,PC3,PC4
"Bender, Anthony",669622,2024,204,25.9,7.9,0.23,0.34,0.288,0.346,32.0,4.8,6.1,26.5,20.4,36.1,6.1,40.8,93.922491164,57.8,13.1,27.2,42.9,MIA,4.2,0.020588235294117647,-1.5322661712210914,2.2538696901356037,0.6213757686419306,0.37266661754581076
"Hudson, Bryan",663542,2024,208,26.8,7.4,0.198,0.335,0.27,0.326,35.8,6.8,6.1,16.9,29.7,35.8,4.7,36.5,93.743675068,66.5,13.9,24.7,46.6,MIL,5.0,0.02403846153846154,-2.2680538837070974,-0.12693891585935713,-0.43101784244701513,0.9462076911362124
"Jackson, Luke",592426,2024,204,25.1,11.1,0.229,0.373,0.312,0.365,31.8,8.8,5.4,24.3,16.9,40.5,4.1,39.9,94.024388356,65.7,16.9,30.9,52.9,ATL,6.2,0.030392156862745098,-0.8554173010363252,1.030990670509548,1.6166436113876235,0.8096671310759328
"Green, Chad",643338,2024,190,21.9,6.7,0.233,0.426,0.302,0.361,35.1,8.8,10.8,21.6,31.1,23.0,4.7,45.9,95.150588986,74.3,18.5,30.8,34.9,TOR,9.6,0.05052631578947368,1.2531660619258838,-1.96022355982804,0.1805274303305186,-1.1677164267250664
"Rogers, Trevor",669432,2024,491,17.3,10.0,0.275,0.436,0.347,0.381,33.3,8.4,5.2,29.1,22.0,30.9,4.4,44.4,94.92394505,67.2,13.6,27.2,37.3,BAL,14.9,0.03034623217922607,2.0847837689367776,1.4535462126744692,0.19740599624628904,-0.05067579741549878
"Díaz, Alexis",664747,2024,204,22.7,12.8,0.206,0.329,0.298,0.312,31.3,6.7,6.0,22.7,36.0,23.3,4.7,38.0,93.632788904,68.7,20.0,25.0,43.7,CIN,6.2,0.030392156862745098,-1.8324216009740242,-1.3851079412577794,-0.9611172788814771,1.1765411730536914
"Kelly, Zack",677161,2024,212,25.3,11.2,0.227,0.411,0.318,0.381,35.1,9.9,4.6,21.9,21.2,36.4,6.0,31.1,93.197603267,66.9,21.0,26.7,45.4,BOS,9.5,0.04481132075471698,-0.782015975636257,-0.3058506476841718,-0.4099010892193239,1.2583757455902236
"Peguero, Elvis",665625,2024,197,20.7,11.9,0.251,0.361,0.314,0.347,29.1,5.3,5.3,27.8,14.6,43.7,2.0,40.4,94.532881216,63.5,13.1,33.6,51.7,MIL,2.5,0.012690355329949238,-0.8831459307073648,2.9547039149168217,1.9349472922199478,0.18907376396403644
"Gallen, Zac",668678,2024,561,25.1,8.7,0.246,0.379,0.308,0.371,34.9,7.4,7.6,27.5,22.9,31.9,2.7,41.0,94.40298237,63.8,14.0,29.7,45.2,AZ,14.6,0.02602495543672014,0.1381299840285889,0.7481987330863579,1.1425560549522085,-0.3357826387237556
"Kopech, Michael",656629,2024,234,31.5,12.2,0.192,0.346,0.29,0.36,34.2,10.5,3.9,19.7,32.2,28.3,5.3,40.8,93.879345436,64.4,25.7,28.8,49.4,LAD,10.3,0.04401709401709402,-1.9332661218017924,-2.3389338505066553,0.9676224313688562,1.782121153225598
"Doval, Camilo",666808,2024,224,28.8,14.4,0.187,0.317,0.288,0.334,27.6,8.6,5.3,16.4,17.8,44.1,5.9,42.8,94.940437415,61.8,19.6,28.3,61.4,SF,4.9,0.021875000000000002,-2.7224902373756805,0.8368379263819868,2.820710783247235,3.2517299066785874
"Alcala, Jorge",660896,2024,210,24.7,8.5,0.194,0.344,0.275,0.319,32.0,7.2,6.5,17.0,37.3,27.5,4.6,32.7,92.994573289,70.3,22.5,26.0,44.4,MIN,8.3,0.03952380952380953,-2.7379165284812688,-2.1811880471175598,-1.5707316652751493,0.7417290719132281
"Suarez, José",660761,2024,208,23.3,11.3,0.256,0.403,0.337,0.388,37.3,8.5,9.8,24.2,21.6,31.4,4.6,47.7,94.970841176,68.1,16.0,28.9,48.4,LAA,7.8,0.0375,1.626889773780274,-0.10216579255968344,1.842941782750451,0.2902683855449863
"Brebbia, John",605154,2024,220,27.7,7.9,0.263,0.445,0.338,0.435,39.9,10.5,5.2,30.1,32.0,17.6,3.9,37.3,94.16101875,68.7,20.1,32.0,36.4,ATL,8.7,0.03954545454545454,1.7218757769425344,-2.0468026395404566,-0.04839351678834271,-1.6650115378630441
"Kuhl, Chad",641771,2024,205,22.5,10.4,0.241,0.365,0.317,0.355,33.8,5.8,4.5,27.9,23.4,29.9,7.8,38.3,93.761976026,67.6,18.7,21.4,48.7,CWS,3.3,0.016097560975609757,-0.8025653004745825,0.8350986447559507,-0.15396603971519596,0.5339325523711922
"Schreiber, John",670167,2024,198,20.5,8.9,0.229,0.316,0.286,0.31,25.3,3.9,3.2,21.4,25.3,39.6,5.2,37.0,94.1672988,67.7,16.4,25.7,33.9,KC,1.8,0.00909090909090909,-2.492896957281779,2.161044833960447,-0.9393111671107641,0.5728849979894789
"Bummer, Aaron",607481,2024,220,28.3,7.4,0.232,0.283,0.261,0.328,29.0,1.3,4.5,29.7,11.0,43.2,9.7,32.9,93.519571554,58.6,19.4,28.7,40.4,ATL,1.5,0.006818181818181818,-3.8940549340763435,3.6880470180406153,0.6730014641025808,-0.6385520568192429
"Kolek, Stephen",663568,2024,195,18.5,5.7,0.279,0.405,0.325,0.37,30.8,3.8,5.8,26.9,12.2,46.8,4.5,41.0,94.213670921,67.4,14.8,27.9,39.2,SD,4.7,0.024102564102564103,0.3109641692151509,3.5204933737546136,0.5518120117857869,-0.9194434305612965
"Mears, Nick",683232,2024,228,29.3,9.4,0.217,0.356,0.283,0.358,38.2,7.0,7.6,24.8,28.7,28.0,3.8,33.1,93.304873439,66.1,20.9,30.4,47.6,MIL,6.7,0.029385964912280703,-1.801541331172889,-1.3328200575530715,0.30141646675861156,-0.5004145166251135
"Hoffman, Jeff",656546,2024,244,33.6,6.0,0.202,0.343,0.264,0.365,32.5,7.6,8.3,21.0,28.7,28.0,5.7,42.0,94.532854103,68.9,22.3,34.6,61.3,PHI,5.4,0.02213114754098361,-2.3917452531549275,-1.915730890447368,2.5083114285417762,-0.9735687007471762
"Rodriguez, Eduardo",593958,2024,202,21.0,8.5,0.275,0.485,0.357,0.424,39.5,10.8,7.6,23.6,22.9,29.3,5.7,42.0,94.55394487,65.3,20.5,28.7,26.4,AZ,10.0,0.04950495049504951,2.851898805109543,-0.3119145559763069,-0.2468098196143222,-0.15513150108413884
"Flaherty, Jack",656427,2024,605,29.9,5.9,0.233,0.38,0.292,0.392,36.1,7.7,4.8,27.1,25.7,27.6,3.9,35.9,93.776478992,65.0,21.1,30.7,51.8,LAD,29.1,0.04809917355371901,-0.8405365353557368,-1.0254108744782233,0.9215216158668279,-0.8317615033208718
"Miller, Erik",669062,2024,244,30.6,13.4,0.19,0.298,0.276,0.326,25.3,7.0,3.2,26.6,24.7,35.4,3.2,41.1,94.208134167,65.3,23.4,24.7,47.0,SF,5.3,0.021721311475409837,-2.8998713319102634,0.2305507305245555,1.5948214712339326,1.817980839791076
"Estes, Joey",683155,2024,501,16.9,5.0,0.245,0.453,0.324,0.363,37.2,9.7,9.4,20.8,39.6,16.9,3.4,39.6,94.154264829,75.6,15.1,29.8,32.5,OAK,26.2,0.05229540918163673,1.7582484939710752,-2.6146712949212376,-2.1430563642269003,-1.4889914815017806
"Herrin, Tim",682120,2024,225,26.5,9.7,0.209,0.319,0.28,0.324,28.3,6.9,5.7,18.2,22.0,42.1,5.0,36.5,93.348866,62.7,18.9,31.2,50.3,CLE,2.9,0.012888888888888889,-3.3775072154741403,1.0744274716866242,0.7067688378516181,1.1060440140398717
"Cano, Yennier",666974,2024,223,26.1,9.6,0.233,0.361,0.299,0.363,25.8,6.3,5.7,22.6,11.3,49.1,3.8,43.4,94.694487325,67.5,17.6,32.2,45.5,BAL,6.5,0.02914798206278027,-1.220871379897255,2.353686677893224,2.342277266827501,0.45420955852356726
"Garcia, Robert",676395,2024,232,29.9,6.4,0.207,0.294,0.248,0.322,29.6,3.1,4.4,27.0,26.4,32.7,5.0,30.2,92.864831776,66.5,23.7,33.6,42.3,WSH,4.6,0.01982758620689655,-4.393431257337292,0.09763109740756441,-0.14804104993179595,-1.6495282602721622
"Erceg, Lucas",668674,2024,231,28.5,6.3,0.223,0.34,0.28,0.354,31.4,6.3,4.4,28.9,20.1,36.5,3.8,33.3,92.89598956,64.6,22.1,31.9,47.8,KC,4.7,0.02034632034632035,-2.7169270984816043,0.7544900828830364,0.7307379238954994,-1.1265305482919719
"Pérez, Cionel",672335,2024,203,19.3,11.8,0.223,0.307,0.294,0.296,29.6,5.0,6.3,20.1,23.3,39.6,5.7,34.0,93.832232308,68.1,15.5,25.3,44.2,BAL,1.0,0.0049261083743842365,-2.5907189439544007,1.6887913784516362,-0.6854526973755164,1.1555976275410909
"Faedo, Alex",656412,2024,210,22.4,11.4,0.249,0.383,0.324,0.365,39.4,6.3,4.4,26.3,28.7,28.1,5.6,34.4,93.483902692,70.8,21.1,29.4,50.6,DET,7.8,0.037142857142857144,-0.5228370522880446,-0.9633586601943525,-0.35457978836891374,-0.40488429924782177
"Elder, Bryce",693821,2024,206,20.4,7.5,0.285,0.442,0.343,0.4,31.1,8.7,3.7,30.4,19.3,35.4,2.5,45.3,94.476407875,60.9,12.5,29.8,47.9,ATL,8.7,0.04223300970873786,1.8353012666259505,2.1099780302008324,1.1979793272958952,0.05541741029314842
"Abbott, Andrew",671096,2024,529,19.5,8.9,0.235,0.403,0.31,0.346,36.6,9.3,5.5,21.8,34.7,24.9,3.1,33.5,93.177609095,68.5,15.8,26.3,40.8,CIN,20.8,0.039319470699432896,-0.2228088823471273,-1.2157306513473352,-1.9993330700802832,0.3484801156953236
"Jax, Griffin",643377,2024,256,34.4,5.4,0.187,0.307,0.24,0.336,23.9,8.0,3.7,22.7,19.0,39.9,6.7,38.7,93.862430186,65.8,24.4,38.3,60.8,MIN,6.2,0.02421875,-4.592198999893965,0.049688347022268334,2.6890580860746685,-0.6451042832522421
"Leclerc, José",600917,2024,247,30.9,11.1,0.214,0.344,0.294,0.371,36.2,7.4,5.5,25.2,30.7,23.3,7.4,30.7,93.541971266,69.2,27.2,29.8,52.3,TEX,6.7,0.027125506072874495,-2.3405704563349503,-2.3348919649694873,0.3300821587111141,-0.2727644935349097
"Martinez, Seth",661527,2024,199,16.2,8.1,0.246,0.387,0.312,0.332,31.1,6.7,7.3,23.2,29.3,28.7,3.7,40.2,93.891014214,67.0,17.4,26.0,36.3,HOU,6.1,0.03065326633165829,-0.09889885955863606,0.37000116851797016,-1.1541948095851784,0.1090111819811147
"Domínguez, Seranthony",622554,2024,231,26.7,8.2,0.209,0.394,0.296,0.363,35.4,12.2,4.3,17.7,30.5,28.7,6.7,32.9,93.230323272,68.7,17.0,26.1,51.1,BAL,11.4,0.04935064935064935,-1.1396367833919334,-1.8201716890237627,-1.055603405567539,1.3107599912969257
"Pressly, Ryan",519151,2024,220,23.8,7.4,0.242,0.397,0.308,0.37,37.0,7.9,10.9,22.4,18.2,37.0,3.6,41.8,94.583014817,69.2,15.0,31.5,52.9,HOU,4.7,0.021363636363636366,0.20766011638678675,0.4171643647034105,1.8841327406087718,-0.7646017734247084
"Smith, Cade",671922,2024,268,35.6,5.9,0.193,0.305,0.249,0.351,39.2,8.4,4.2,24.1,26.5,33.1,3.0,42.8,94.869903354,67.5,24.9,27.4,47.1,CLE,5.0,0.018656716417910446,-2.2055333592025335,-1.2998541976065974,2.405973025888713,-0.5546711117568262
"Jiménez, Joe",641729,2024,248,29.6,8.3,0.182,0.278,0.247,0.298,29.8,4.8,6.5,24.4,32.7,26.2,5.4,32.7,92.99504479,68.7,20.3,32.6,61.8,ATL,2.4,0.00967741935483871,-4.784757269684614,-1.2829029946278618,0.434615548903469,-0.7804896280434275
"Zerpa, Angel",672582,2024,216,20.4,8.3,0.261,0.413,0.325,0.376,27.8,7.1,2.4,24.3,17.2,44.4,4.1,43.8,94.736351394,61.4,13.2,20.4,26.7,KC,5.8,0.026851851851851852,0.8304362258147897,3.5323951935147804,-0.20869433789642583,1.6581642807753398
"Varland, Louie",686973,2024,214,20.6,6.7,0.285,0.466,0.354,0.418,41.4,8.9,7.7,32.0,20.7,27.2,3.6,45.0,94.924498204,72.8,15.8,23.7,51.0,MIN,9.5,0.04439252336448598,3.475590704546998,-0.1293803491821825,1.243315220869816,-1.2015999518628746
"Gray, Sonny",543243,2024,623,30.3,5.8,0.237,0.394,0.297,0.4,38.1,8.9,4.2,27.8,23.1,31.5,4.2,37.9,94.211961253,65.9,17.7,30.7,56.7,STL,20.5,0.03290529695024077,-0.3864149976303396,-0.3708727315576446,1.6674513702500458,-0.9046312016119111
"Romero, JoJo",668941,2024,220,21.0,6.6,0.272,0.46,0.346,0.406,34.5,10.5,4.7,24.6,17.0,36.8,5.8,39.8,94.412021758,61.6,13.3,26.4,52.4,STL,7.9,0.03590909090909091,1.5477303510932587,1.6796039397368034,0.7200158990757625,0.7692368373820493
"Scott, Tanner",656945,2024,251,28.6,12.2,0.2,0.29,0.268,0.32,30.4,4.7,4.7,22.8,18.1,35.1,13.5,27.5,92.406937563,70.0,25.1,31.9,50.8,SD,2.6,0.010358565737051793,-5.067097838129875,0.2753634693825495,-0.40038579688104803,-0.12617972492372004
"Priester, Quinn",682990,2024,202,14.9,6.3,0.271,0.407,0.324,0.35,28.1,4.1,7.0,26.3,15.2,42.1,3.5,46.2,94.649414226,69.8,15.4,30.7,37.3,BOS,7.0,0.034653465346534656,0.7239688417233133,2.7902759654694993,0.6478269475794409,-1.0845377546885542
"Adam, Jason",592094,2024,251,28.7,8.2,0.203,0.336,0.276,0.345,29.7,6.4,8.1,23.3,27.3,28.5,5.8,37.8,94.095814556,70.7,26.4,33.0,60.1,SD,8.2,0.03266932270916335,-2.679114333816291,-1.783433998201637,1.7092129377832477,-0.6463987415236335
"Buttó, José",676130,2024,246,26.9,12.9,0.19,0.318,0.288,0.32,30.2,7.6,6.4,18.6,30.2,34.3,2.9,37.8,93.911438421,66.1,18.1,30.7,49.4,NYM,8.6,0.034959349593495934,-2.5305721729714112,-0.831121221748624,0.5587044596303075,1.6305341990927007
"Maton III, Phil",664208,2024,231,22.6,9.1,0.239,0.385,0.32,0.362,32.6,7.0,7.0,23.3,23.3,32.6,7.0,33.1,93.404469942,67.1,22.3,29.9,35.5,,0.0,0.0,-1.4460561071966276,0.5634127202270167,-0.6263789263294045,-0.5740544933100352
"Smyly, Drew",592767,2024,226,21.8,9.7,0.234,0.368,0.301,0.343,34.1,6.4,6.9,25.4,33.5,22.5,4.0,38.2,94.083570476,68.8,15.3,27.7,49.3,CHC,8.9,0.03938053097345133,-0.444051350046217,-1.0172265341247357,-0.43664702137266165,-0.07785471002335047
"Pérez, Martín",527048,2024,533,18.1,8.3,0.277,0.468,0.353,0.399,34.3,8.6,7.9,25.9,21.2,29.8,6.3,41.5,94.749829061,64.7,13.7,28.0,37.1,SD,20.2,0.03789868667917448,2.306738073022992,1.1314117950258542,-0.1267301533345828,-0.08414990791502011
"Miller, Bobby",676272,2024,226,20.2,11.6,0.296,0.528,0.394,0.458,34.5,11.5,5.7,28.7,19.5,30.5,2.3,47.7,95.547014269,70.6,18.9,24.2,36.3,LAD,12.6,0.05575221238938053,4.9029036189517905,0.09346729090359895,1.2489351648845772,0.7322983249282851
"Koenig, Jared",657649,2024,236,23.8,8.7,0.224,0.357,0.29,0.342,28.2,8.0,4.0,20.7,24.7,36.8,5.7,35.6,93.584806294,63.5,17.4,27.1,37.2,MIL,4.3,0.018220338983050848,-2.0058810251038124,1.158258467090091,-0.7235337470298638,0.9924965298066798
"Sale, Chris",519242,2024,652,32.1,5.6,0.213,0.317,0.261,0.351,34.9,5.6,4.9,28.1,22.8,32.1,5.8,31.2,93.046190662,63.9,21.7,33.5,49.4,ATL,12.6,0.01932515337423313,-3.4025163652276307,0.015258925766851922,0.7182844798716442,-1.6312427980407438
"Iglesias, Raisel",628452,2024,238,26.3,5.0,0.195,0.292,0.233,0.291,25.7,4.0,3.4,18.9,33.1,32.6,8.0,30.9,92.798374269,68.5,23.5,37.1,45.5,ATL,5.4,0.022689075630252103,-5.50449403443627,-0.5626119018180609,-1.160385644102326,-1.2975941454170918
"Festa, David",701581,2024,251,27.8,8.3,0.24,0.408,0.314,0.399,41.1,8.6,7.4,26.9,25.1,28.0,4.0,38.9,93.969638218,66.9,19.7,31.7,45.6,MIN,10.5,0.04183266932270916,0.4424977242209719,-1.158989258647394,0.9910482033820845,-0.9974004695263968
"Puk, A.J.",640462,2024,262,29.9,9.5,0.197,0.293,0.257,0.316,35.2,4.0,6.3,25.0,31.3,27.3,6.3,33.5,92.955833678,64.2,24.1,32.1,49.7,AZ,6.4,0.024427480916030534,-3.9878554793875978,-1.1743200316334175,0.14899234866513777,-0.6269012943822687
"Richards, Trevor",670950,2024,234,22.4,12.6,0.205,0.334,0.295,0.316,31.1,6.8,5.6,22.0,36.2,26.0,3.4,37.9,93.442446193,62.7,14.7,28.4,39.6,MIN,6.2,0.026495726495726495,-1.9103168369698318,-0.42488558809198657,-1.142517207092426,1.3238946919715697
"Montas, Frankie",593423,2024,576,22.6,10.1,0.247,0.428,0.333,0.388,36.2,9.2,7.4,23.0,24.2,30.9,4.4,43.1,94.576313396,70.6,17.7,27.7,42.5,MIL,21.0,0.036458333333333336,1.26255427381247,-0.46431913656667934,0.6282643558342622,0.20102944535961384
"Morejon, Adrian",670970,2024,246,26.1,7.7,0.225,0.346,0.284,0.351,31.8,8.4,3.9,22.3,20.7,37.4,7.3,32.4,93.308896384,69.0,18.9,31.6,49.3,SD,5.1,0.02073170731707317,-2.494861189278699,0.4649374699695239,0.01628488500687561,-0.31720126870808457
"Brieske, Beau",689225,2024,246,24.5,10.6,0.216,0.331,0.283,0.324,31.5,5.5,6.6,24.3,29.8,27.1,6.1,35.9,93.940923898,69.3,18.3,29.5,36.2,DET,5.6,0.02276422764227642,-2.0069834460793587,-0.3306291279233779,-0.7038989581144031,-0.3195392347551971
"Jarvis, Bryce",686826,2024,218,14.7,12.8,0.271,0.433,0.354,0.365,34.1,7.1,6.6,24.2,26.9,33.0,1.6,40.1,94.194507845,70.1,15.0,25.7,41.3,AZ,5.6,0.02568807339449541,1.4900955859692804,0.7140549541439692,-0.546962713440588,0.72235897660103
"Foley, Jason",671345,2024,224,18.4,8.0,0.255,0.392,0.316,0.354,36.8,6.6,9.3,22.5,20.3,35.7,5.5,41.2,94.6846625,68.3,15.2,25.4,45.6,DET,5.1,0.022767857142857142,0.5539965931871531,1.1054128106996388,0.44628991560175213,-0.05052937768184425
"García, Luis",472610,2024,235,20.9,5.9,0.235,0.379,0.293,0.342,33.9,7.1,6.0,19.1,19.7,42.6,5.5,39.3,94.284691093,67.4,12.3,33.1,46.1,BOS,6.9,0.029361702127659577,-0.9920598480667466,1.5387438651314662,0.34601951340984194,-0.392014445622359
"Blanco, Ronel",669854,2024,599,24.6,10.1,0.226,0.391,0.309,0.366,30.1,9.3,4.8,25.3,28.7,28.7,3.0,35.5,93.702377385,68.4,17.7,30.3,52.8,HOU,20.3,0.033889816360601004,-0.9010040288810238,-0.7642369573739684,0.2365408275823558,0.33631566084792003
"Finnegan, Kyle",640448,2024,245,22.1,8.9,0.261,0.411,0.321,0.383,31.6,7.0,8.0,27.8,22.5,31.6,3.2,48.1,95.621577135,72.4,18.2,27.2,40.3,WSH,8.9,0.036326530612244896,1.6789786439498031,0.3254791245397325,1.6349786924726726,-0.6044860004982672
"Pearson, Nate",663878,2024,255,26.0,7.4,0.242,0.431,0.324,0.405,38.0,10.2,8.0,25.7,25.7,26.2,3.7,45.5,94.629260108,65.2,18.9,26.4,51.5,CHC,10.8,0.04235294117647059,1.4870694781846807,-1.075113330411945,1.6033128135101902,0.12331116929990443
"Anderson, Chase",502624,2024,227,16.5,8.2,0.241,0.427,0.326,0.352,33.0,8.5,7.4,20.2,37.8,22.3,3.7,33.0,93.132957701,70.3,21.0,23.0,32.2,TEX,11.8,0.051982378854625554,0.3228585516591639,-1.8297301331560736,-2.980204478855591,0.5369627137123604
"Milner, Hoby",571948,2024,244,23.9,5.2,0.249,0.346,0.28,0.346,30.9,2.7,7.4,25.0,22.9,34.0,7.4,36.2,93.945962541,59.0,16.4,26.4,26.3,MIL,5.7,0.02336065573770492,-1.5365923741712677,2.241468857054945,-0.9613962170615761,-0.6141717616006689
"Chavez, Jesse",445926,2024,241,20.8,7.2,0.263,0.411,0.318,0.373,37.6,6.3,6.3,25.4,23.8,33.9,3.7,35.4,93.66962262,63.5,13.7,22.3,25.8,ATL,8.1,0.033609958506224065,0.7900900778671597,1.4908812342851652,-1.5890569731179736,0.016853915435309647
"Falter, Bailey",663559,2024,531,16.5,7.6,0.267,0.45,0.336,0.374,36.6,9.0,7.4,25.6,27.2,26.5,4.0,41.3,94.430660482,67.8,13.7,27.8,36.4,PIT,19.3,0.036346516007532956,1.97105582458592,0.2027331142863098,-0.7650485662859953,-0.5298172291087117
"Cabrera, Génesis",650893,2024,235,18.5,10.7,0.248,0.4,0.323,0.356,33.7,7.4,5.8,26.8,27.4,29.5,2.6,41.1,94.189379412,71.7,19.1,27.9,42.4,TOR,8.4,0.03574468085106383,0.5215799650271342,-0.25811795283945305,-0.037371951925688596,-0.1908922105975148
"Thornton, Trent",663423,2024,265,26.2,6.5,0.226,0.345,0.284,0.35,31.1,7.8,2.6,26.9,29.0,25.4,7.8,37.3,93.50760367,68.1,17.6,32.6,48.1,SEA,7.0,0.026415094339622643,-2.039987858723366,-0.3462155545901754,-0.2946621784629067,-1.0906412598543156
"Santana, Dennis",642701,2024,259,24.0,7.3,0.223,0.333,0.277,0.323,37.3,4.7,6.7,26.9,28.0,28.5,5.2,32.6,92.748697016,66.0,17.7,35.2,47.9,PIT,6.1,0.02355212355212355,-2.641605047365317,-0.20303966274184224,-0.49862426112565544,-1.8008580967529646
"Farmer, Buck",571656,2024,260,23.4,9.7,0.238,0.397,0.314,0.369,36.8,8.3,6.7,22.3,28.5,30.6,3.6,35.8,93.605760895,64.2,17.4,29.3,43.3,CIN,4.7,0.018076923076923077,-0.5417974900463288,-0.20797696514218073,-0.235127594554651,0.21142304365491849
"Lawrence, Justin",664875,2024,233,16.1,11.8,0.3,0.453,0.376,0.399,32.5,7.7,5.2,29.9,16.0,36.1,4.6,42.3,94.88308445,64.4,14.9,23.9,41.8,COL,7.1,0.030472103004291845,2.6491318700529884,2.555497257316587,0.5408832070066266,0.8815442585386082
"Gaddis, Hunter",683769,2024,259,23.7,5.0,0.2,0.334,0.257,0.307,29.9,5.7,7.2,19.1,37.1,28.9,2.1,36.6,93.411744536,69.5,19.2,30.9,40.3,CLE,8.5,0.032818532818532815,-2.754978910816347,-1.300794391641541,-1.042863790676025,-0.7554048409391699
"Holmes, Grant",656550,2024,262,24.8,5.3,0.238,0.383,0.289,0.362,35.9,6.7,7.7,24.1,26.7,31.8,2.6,38.5,93.754273057,73.2,18.0,35.1,61.9,ATL,6.0,0.022900763358778626,-1.1523052992657585,-0.9188342601309236,1.3432374722049583,-2.001699837851046
"King, John",667463,2024,225,15.3,5.6,0.253,0.383,0.303,0.334,27.2,6.2,5.1,20.5,15.4,47.7,4.6,36.9,93.815951302,69.1,10.9,31.4,32.6,STL,5.1,0.022666666666666665,-0.88706513631219,3.318538538382999,-0.9829460700487916,-0.5043136567173534
"Morton, Charlie",450203,2024,613,23.8,9.3,0.243,0.402,0.326,0.379,33.0,9.3,5.5,25.1,19.5,35.3,5.1,38.4,93.929105313,66.3,16.1,28.0,48.5,ATL,25.1,0.04094616639477977,0.14591807269418253,0.6354126950847608,0.5585252474995388,0.5825906519800597
"Lambert, Peter",663567,2024,242,17.9,10.4,0.264,0.394,0.325,0.353,38.9,6.1,6.6,26.3,27.8,30.3,3.0,36.9,93.391432335,71.3,13.2,24.7,47.7,COL,7.7,0.03181818181818182,0.5501601592399302,0.2077715580182731,-0.9400663620943811,-0.17763265802161668
"Weaver, Luke",596133,2024,296,31.1,7.9,0.2,0.36,0.283,0.368,36.4,8.6,8.6,20.2,31.8,26.8,4.0,38.4,94.297465641,72.7,28.2,31.9,42.9,NYY,11.9,0.0402027027027027,-1.4448471378298942,-3.1398233725479514,1.036220274539902,-0.8011513157383355
"Molina, Anthony",683627,2024,236,15.5,8.3,0.309,0.47,0.369,0.407,38.7,8.0,6.0,30.2,19.6,32.2,3.5,45.7,95.191955178,72.4,11.7,22.1,43.0,COL,5.3,0.022457627118644068,3.7891333040718145,1.6986758284818109,0.45373180513671474,-0.6470300989076563
"King, Michael",650633,2024,653,27.7,8.7,0.226,0.36,0.294,0.364,35.2,6.2,5.1,24.2,26.4,32.5,5.7,30.3,92.671656987,60.8,20.9,30.5,45.6,SD,15.6,0.023889739663093414,-2.4561169654124626,0.06181935914952426,-0.435844806295088,-0.04191046767630548
"Hancock, Emerson",676106,2024,239,14.7,7.1,0.29,0.484,0.368,0.398,39.6,9.9,8.4,26.7,24.8,26.2,4.0,46.0,94.375983366,71.4,17.6,27.6,33.6,SEA,12.5,0.05230125523012552,3.659770625137487,-0.3515508124527943,-0.5114521360787971,-1.0508959351089713
"Thompson, Ryan",657044,2024,252,19.1,5.5,0.258,0.405,0.309,0.362,26.5,7.4,4.9,20.1,13.7,46.1,7.4,44.6,95.26022148,65.1,15.2,33.5,39.0,AZ,6.0,0.023809523809523808,-0.22720980098087384,3.016941722738632,1.0864053866569268,-0.16612488944204076
"Banks, Tanner",621383,2024,277,25.2,7.7,0.232,0.344,0.287,0.347,30.2,6.3,4.4,25.4,22.4,36.6,4.9,34.1,93.296796305,69.4,18.8,26.8,45.2,PHI,5.0,0.018050541516245487,-2.0902071844300814,0.8733127333383012,-0.17388695012249777,-0.29683050213466056
"Vest, Will",676684,2024,261,21.8,6.2,0.26,0.37,0.303,0.359,36.6,2.9,8.3,29.8,17.1,37.6,4.4,38.0,93.836313088,68.6,19.6,29.2,36.6,DET,3.3,0.01264367816091954,-0.5705005142393211,1.8233059783213503,0.4971256906823844,-2.1729801388227075
"Nelson, Ryne",669194,2024,583,20.0,5.4,0.267,0.413,0.315,0.37,34.5,7.5,5.8,26.3,25.2,32.5,2.6,41.6,94.487586272,71.1,14.4,29.3,29.0,AZ,15.9,0.027272727272727275,1.1012116498185323,0.8717728023067317,-0.48315583361879566,-1.569765775207497
"Megill, Tylor",656731,2024,298,27.0,9.5,0.237,0.392,0.316,0.39,36.4,10.0,5.7,25.8,24.9,27.8,3.8,42.6,94.285350976,68.9,19.7,30.2,47.6,NYM,8.7,0.02919463087248322,0.27781123481123376,-0.9417696451985118,1.3170819618808411,-0.2970056834644223
"Ragans, Cole",666142,2024,685,29.3,8.8,0.216,0.34,0.283,0.356,31.8,6.2,6.7,26.8,27.9,28.1,3.9,35.4,93.553010853,69.7,24.3,29.8,48.7,KC,16.8,0.024525547445255477,-2.196168167911239,-1.1791352606618097,0.7599595411315155,-0.7904792759755643
"Parker, Mitchell",680730,2024,595,20.6,6.7,0.256,0.434,0.322,0.379,35.3,8.1,7.9,24.4,27.4,27.4,4.3,38.9,94.140672817,71.3,14.9,30.0,41.3,WSH,18.9,0.03176470588235294,0.9102027085908104,-0.34970585628472645,-0.4119874359843583,-1.1511799295478722
