,Name,player_id,year,pa,k_percent,bb_percent,xba,xslg,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,iz_contact_percent,team_abbrev,xhr,xhr_rate,PC1,PC2,PC3,PC4,PC5
309,"Trejo, Alan",676701,2024,67,22.4,3.0,0.185,0.242,0.208,0.243,26.5,2.0,4.1,24.5,30.6,28.6,10.2,24.5,92.100694348,78.8,14.6,39.3,45.7,54.3,82.9,COL,0.3,0.004477611940298508,-5.1187573626189655,1.4215837020053674,1.928804799263897,-1.8133612008344426,-0.28337709533199623
310,"Robinson, Chuckie",642020,2024,76,26.3,6.6,0.172,0.213,0.21,0.236,28.0,2.0,2.0,16.0,18.0,54.0,8.0,22.0,91.0716732,74.5,21.9,37.6,44.1,55.9,78.1,,0.0,0.0,-5.822761206295093,2.0528847192261175,2.6937394093167844,1.8838853743648936,0.21260057060121237
311,"Jung, Jace",690291,2024,94,30.9,16.0,0.219,0.287,0.293,0.344,32.0,4.0,2.0,38.0,22.0,28.0,6.0,34.0,93.0392616,64.8,19.7,26.3,60.0,40.0,80.3,DET,0.4,0.00425531914893617,-1.484550522468152,0.3564049411826912,-2.3160142495991414,0.9152348075324139,3.330944656241769
312,"Isbel, Kyle",664728,2024,426,20.7,6.3,0.234,0.333,0.281,0.32,24.8,3.9,3.6,24.8,24.2,35.3,7.8,36.3,93.787078878,60.9,9.4,30.9,39.3,59.9,89.7,KC,8.2,0.01924882629107981,-2.2007806996027526,-1.0971743527913793,0.5685624532870138,1.1138511130084643,-0.5307229392521127
313,"Rivas, Leo",660844,2024,86,27.9,11.6,0.244,0.312,0.301,0.361,45.1,2.0,2.0,39.2,23.5,21.6,11.8,27.5,91.85981587,56.6,18.0,14.9,57.7,42.3,81.1,SEA,0.3,0.0034883720930232558,-1.8460512348222022,-0.7969911634784748,-4.24810436595633,-0.6586781865552781,4.79232252956586
314,"Bae, Ji Hwan",678225,2024,81,29.6,7.4,0.217,0.337,0.274,0.354,31.4,11.8,2.0,21.6,11.8,39.2,13.7,37.3,93.917488511,67.9,23.6,27.2,53.7,46.3,75.5,PIT,0.4,0.0049382716049382715,-1.2402016684749375,1.760651175156575,0.9427862666218612,2.02413958073064,2.106337977670115
315,"Kavadas, Niko",694359,2024,106,38.7,10.4,0.185,0.371,0.292,0.421,42.3,11.5,7.7,23.1,46.2,9.6,1.9,40.4,94.892744038,59.4,25.4,17.7,65.0,35.0,74.6,LAA,4.2,0.03962264150943397,2.3278437052574255,3.5928892900532383,-4.3401075022149,-2.2101446409328,-0.4967029982914575
316,"Cabbage, Trey",663550,2024,91,37.4,4.4,0.194,0.353,0.26,0.388,32.7,15.4,5.8,11.5,19.2,44.2,3.8,53.8,96.42701451,72.5,23.4,36.1,69.7,30.3,76.6,HOU,1.3,0.014285714285714287,1.4381465734911114,4.134185449703734,3.1289321987559995,2.0141972242157173,-0.13330549635091982
317,"Riley, Austin",663586,2024,469,25.2,7.9,0.267,0.505,0.361,0.455,37.2,14.9,8.4,20.7,27.2,26.9,1.3,53.4,96.882758664,72.1,18.7,28.0,50.2,49.8,81.3,ATL,19.7,0.04200426439232409,4.874391120405472,0.015499634068598993,0.5174236223983908,-0.29218778982425575,-0.7491153039496175
318,"Conine, Griffin",665052,2024,89,31.5,6.7,0.219,0.373,0.289,0.391,29.6,7.4,9.3,20.4,11.1,46.3,1.9,40.7,94.724784038,73.2,19.2,32.9,48.2,51.8,80.8,MIA,1.7,0.019101123595505618,0.5356961308349522,1.1244943562375753,2.7103706565846677,2.343311011715785,0.5543321189049756
