,Name,player_id,year,pa,k_percent,bb_percent,xba,xslg,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,iz_contact_percent,team_abbrev,xhr,xhr_rate,PC1,PC2,PC3,PC4,PC5
400,"Matos, Luis",682641,2024,156,15.4,3.2,0.24,0.355,0.267,0.304,29.1,3.9,7.1,22.8,33.9,28.3,3.9,37.0,93.205182992,68.9,7.6,40.1,28.8,71.2,92.4,SF,4.0,0.02564102564102564,-1.8774995331082758,-1.55474103430135,1.6390050415474866,-1.7073372141678174,-2.1751157840240283
401,"Caminero, Junior",691406,2024,177,21.5,6.2,0.238,0.405,0.301,0.36,25.2,11.8,3.1,16.5,22.8,39.4,5.5,45.7,95.641090317,63.1,22.2,35.4,45.2,54.8,77.8,TB,7.1,0.04011299435028248,0.8030624598626213,0.6144806052486635,1.9403797003559422,1.7703586474120683,-1.587070041977136
402,"Guillorme, Luis",641645,2024,187,19.3,12.3,0.223,0.29,0.279,0.284,32.8,2.3,3.1,25.8,19.5,46.1,3.1,21.1,91.273931654,60.4,13.9,23.9,31.6,67.4,85.2,AZ,0.7,0.0037433155080213902,-3.728583233044119,-1.8104186731121938,-1.0594394464116288,2.224181400221445,0.704885472685584
403,"Schwarber, Kyle",656941,2024,692,28.5,15.3,0.256,0.512,0.38,0.489,31.8,15.6,7.3,23.2,24.2,27.1,2.6,55.5,97.529843438,60.6,23.7,20.9,54.3,45.7,76.3,PHI,38.4,0.055491329479768786,5.830822415013835,0.5132075059907164,-1.825377507744174,1.9832369777674697,-0.48224310815232485
404,"Benintendi, Andrew",643217,2024,522,18.4,7.9,0.243,0.389,0.303,0.337,36.5,6.3,8.3,23.7,29.7,28.4,3.4,34.4,92.764984068,69.3,17.0,25.1,33.1,66.5,82.5,CWS,18.1,0.034674329501915714,-0.10179531013136306,-0.9911715515535918,-0.6479670886847653,-0.9565078082902403,-0.8769103209578356
405,"Jung, Josh",673962,2024,188,25.5,4.3,0.241,0.397,0.292,0.371,38.2,9.9,4.6,27.5,21.4,29.0,7.6,39.7,93.114510916,68.9,23.4,35.5,48.0,52.0,76.6,TEX,4.5,0.023936170212765957,0.1892745375620733,0.3975876322399643,1.0680794925997348,-1.162395077363114,1.7511572483181423
406,"Casas, Triston",671213,2024,243,31.7,12.3,0.219,0.452,0.33,0.446,35.6,13.3,7.4,21.5,20.7,31.1,5.9,45.2,95.112485926,65.8,26.0,23.1,50.0,50.0,74.0,BOS,12.0,0.04938271604938271,3.230458357790257,1.6529895055356527,-1.0272836499846771,1.2059016310707318,0.2939741516281397
407,"Kiner-Falefa, Isiah",643396,2024,496,15.7,3.2,0.251,0.346,0.283,0.312,31.6,2.3,5.1,24.5,23.0,38.0,6.6,29.7,92.34866123,60.8,9.4,30.1,27.0,72.5,90.2,PIT,6.0,0.012096774193548387,-2.854806799689785,-2.4551031846770908,0.8438006418524459,0.27522101296983326,-0.20624412795827568
408,"Soderstrom, Tyler",691016,2024,213,24.9,9.4,0.24,0.48,0.348,0.427,31.4,14.6,9.5,17.5,18.2,39.4,0.7,49.6,95.728140219,69.1,18.8,29.2,55.7,44.3,81.2,OAK,11.4,0.053521126760563385,3.9941681430094613,0.628997611490022,1.32027493141488,1.918995160005564,-1.1941413400871566
409,"Swanson, Dansby",621020,2024,593,24.3,9.1,0.244,0.416,0.321,0.388,32.6,9.2,7.9,22.4,21.1,36.1,3.3,42.7,94.404024529,71.0,22.7,24.0,48.7,51.3,77.3,CHC,13.6,0.02293423271500843,1.4334601043563566,0.34875306282643675,0.3409358745091992,1.221821319538071,0.20750366746365612
410,"Acuña Jr., Ronald",660670,2024,222,23.9,12.2,0.261,0.427,0.35,0.41,31.7,9.4,6.5,24.5,18.7,36.7,3.6,48.2,96.113602174,71.0,23.0,21.4,43.6,56.4,77.0,ATL,5.3,0.023873873873873873,2.526846909760072,-0.41477691641703124,-0.07143570664448615,2.1294455601177176,0.5454659109742673
411,"Olivares, Edward",658668,2024,196,18.9,8.2,0.28,0.397,0.332,0.374,35.5,6.4,2.8,27.7,19.1,41.8,2.1,35.5,93.311684681,68.8,15.0,32.9,44.0,55.2,84.6,PIT,5.1,0.026020408163265306,0.17011754434772358,-2.225607659647584,1.1746288065652677,0.6633191338119787,1.2390571363512375
412,"Betts, Mookie",605141,2024,516,11.0,11.8,0.282,0.447,0.356,0.357,39.3,6.0,10.1,28.2,35.0,19.1,1.5,39.5,93.575257103,60.8,6.1,21.1,38.7,61.3,93.9,LAD,18.6,0.03604651162790698,1.6696785145321758,-3.3823935556755993,-2.8527777830524417,-1.3061670872288,-1.1789552096255682
413,"Rafaela, Ceddanne",678882,2024,571,26.4,2.6,0.229,0.368,0.273,0.355,34.9,7.5,5.0,23.9,25.6,30.9,7.0,36.9,93.166643181,78.6,24.3,46.4,46.7,52.7,75.0,BOS,16.1,0.02819614711033275,-0.6292915316736125,1.2969489008887778,3.01701239696775,-2.1599569841100794,0.6756944086144996
414,"Frelick, Sal",686217,2024,524,14.9,7.4,0.246,0.304,0.278,0.288,30.0,0.8,3.5,24.8,24.0,38.3,8.5,19.5,91.272403907,57.0,8.1,25.8,23.8,76.2,91.2,MIL,3.0,0.0057251908396946565,-4.417656897578299,-2.774861539917198,-0.7490902343436139,0.8717886587957002,-0.1608913434541861
415,"Doyle, Brenton",686668,2024,603,25.4,7.6,0.254,0.437,0.329,0.412,37.4,10.5,6.0,24.4,25.2,28.2,5.5,41.4,94.67619269,74.5,18.2,30.0,56.5,42.9,81.1,COL,20.7,0.034328358208955224,2.0692006616432668,0.2831853299418583,0.5095852685817898,-0.8451192125896763,0.7002211834568586
416,"Velázquez, Nelson",676369,2024,230,26.5,8.3,0.214,0.396,0.304,0.373,29.9,8.8,6.8,20.4,34.7,24.5,4.8,38.1,93.836443129,70.6,23.3,25.6,64.5,35.5,76.7,KC,10.3,0.044782608695652176,0.9689380405391022,2.239093656585017,-0.6743398289526844,-0.678992623006031,-1.1963855687540939
417,"Happ, Ian",664023,2024,657,25.6,12.2,0.243,0.446,0.345,0.416,37.0,11.7,7.7,23.6,26.6,26.8,3.5,45.2,95.287992294,67.8,21.4,23.2,47.3,52.7,78.5,CHC,23.8,0.036225266362252664,2.9843221480944764,0.2268967096472643,-1.3243573434724738,0.2646388648237943,-0.06452240995299871
418,"De La Cruz, Elly",682829,2024,696,31.3,9.9,0.24,0.428,0.328,0.44,35.7,12.7,6.2,22.8,21.1,33.0,3.7,45.7,95.90272362,61.7,23.2,26.9,54.2,45.3,75.6,CIN,21.4,0.030747126436781607,2.829181249616637,1.0068587857880151,-0.3778499058094196,1.3561813827881573,0.7923706524833941
419,"Mateo, Jorge",622761,2024,208,23.1,4.8,0.228,0.339,0.271,0.328,30.2,4.0,7.4,24.2,26.8,31.5,5.4,34.9,94.060455208,70.3,14.0,33.4,42.0,56.5,84.3,BAL,5.9,0.02836538461538462,-1.2133433017867454,0.0007570864199052127,1.1968937341887724,-0.518911912925487,-0.5614502337876449
420,"Barger, Addison",680718,2024,225,26.7,6.2,0.228,0.387,0.291,0.369,32.9,8.7,5.4,23.5,24.8,30.2,6.0,38.3,94.503054898,61.0,19.3,31.5,44.0,56.0,80.3,TOR,7.0,0.03111111111111111,0.18805756150867728,0.42105306239111573,0.15256599006555288,0.1363827564955104,0.01979608612901007
421,"Neto, Zach",687263,2024,602,23.3,6.5,0.236,0.414,0.317,0.376,29.0,8.4,8.4,21.1,24.8,29.7,7.1,38.8,94.28058907,67.9,17.8,31.3,45.8,53.4,81.7,LAA,22.1,0.0367109634551495,0.7544475839428177,0.34432166266547615,0.7541206148294712,0.0444404885197314,-0.8997236509799943
422,"Marte, Ketel",606466,2024,583,18.2,11.1,0.294,0.538,0.392,0.447,33.7,12.3,7.4,24.6,18.2,35.4,2.0,53.8,96.920444406,71.3,14.1,26.0,40.0,59.6,85.6,AZ,30.8,0.052830188679245285,4.961065057346513,-2.371331785145665,0.734066302805579,1.3869020063666926,-0.43863978377591617
423,"Grossman, Robbie",543257,2024,245,23.7,13.9,0.214,0.298,0.292,0.311,30.3,3.3,4.6,25.0,28.9,36.2,2.0,27.6,92.054845855,57.0,17.7,15.7,40.7,59.3,82.3,KC,2.9,0.01183673469387755,-2.315207603536135,-0.43866312609356944,-2.969848653118187,1.9941136503112877,-0.24146066124718824
424,"Keith, Colt",690993,2024,556,19.8,6.5,0.266,0.393,0.311,0.361,34.6,5.6,5.1,29.4,25.2,30.4,4.2,35.3,93.330372181,67.9,13.4,29.9,44.4,55.6,86.6,DET,14.9,0.026798561151079137,-0.1419460463191497,-1.6543551678487272,0.24060660971918812,-0.6712959575563481,0.759516077267425
425,"Valdez, Enmanuel",665839,2024,223,23.8,7.6,0.234,0.407,0.304,0.368,32.0,9.2,5.9,23.5,33.3,24.8,2.0,41.8,94.1331724,60.5,15.0,28.6,35.8,63.5,85.0,BOS,8.2,0.03677130044843049,0.7345885993293024,-0.5304032980689866,-0.8755102913917752,-0.5435589280323948,-1.5035054429159735
426,"García, Adolis",666969,2024,637,27.8,7.1,0.227,0.413,0.306,0.393,33.7,12.5,6.6,22.5,27.6,28.1,2.4,48.2,95.435631691,74.9,24.7,33.6,51.5,48.5,75.1,TEX,24.8,0.03893249607535322,2.3414838613660334,1.5885698293574553,1.1362672035010226,-0.6187138967917291,-0.3850120193183906
427,"Walls, Taylor",670764,2024,252,26.6,12.3,0.184,0.259,0.252,0.274,29.9,3.2,5.2,20.1,36.4,31.2,3.9,24.0,91.544710263,69.3,18.6,20.3,47.6,52.4,80.3,TB,2.1,0.008333333333333333,-3.4964564663105113,1.6278793189299825,-2.1227652723011605,0.24167679045464263,-1.1634647268956448
428,"Ruiz, Keibert",660688,2024,485,11.1,3.3,0.251,0.35,0.279,0.294,32.2,3.2,4.1,28.5,36.6,22.7,4.6,25.6,91.740685858,67.4,7.2,38.2,20.1,79.9,92.8,WSH,14.9,0.03072164948453608,-2.814220763074417,-2.9698419855278986,0.4399305792998317,-3.0876052991279446,-1.498024792679238
429,"Chourio, Jackson",694192,2024,573,21.1,6.8,0.274,0.43,0.328,0.391,33.2,7.8,6.6,23.9,19.3,36.6,5.6,44.9,94.831073407,66.1,17.3,31.9,47.0,53.0,82.6,MIL,20.0,0.034904013961605584,1.518711490486052,-0.9893177736236202,1.261935585795475,0.8171078295798061,0.3837627909097987
430,"Castro, Willi",650489,2024,635,23.6,8.0,0.244,0.381,0.32,0.371,39.0,7.0,8.0,26.6,25.9,26.4,5.6,36.8,93.501303852,72.7,17.4,31.7,53.5,46.2,82.2,MIN,12.7,0.02,0.5452276109406118,0.003230869810284538,0.01951555793587764,-1.2863565493772386,1.0688931592942135
431,"Nimmo, Brandon",607043,2024,663,23.8,11.6,0.244,0.408,0.335,0.386,33.7,9.1,6.5,25.5,24.0,33.7,1.0,47.4,95.221659687,65.6,15.2,24.1,45.2,54.8,84.4,NYM,19.2,0.028959276018099545,1.9018978793921568,-0.8021068287382337,-0.6886160417253882,1.327954782386601,-0.09074887546397606
432,"India, Jonathan",663697,2024,637,19.6,12.6,0.266,0.412,0.352,0.38,39.3,7.7,5.8,27.3,22.5,31.9,4.6,36.5,93.547150797,57.6,12.2,18.4,41.7,57.9,87.6,CIN,11.5,0.01805337519623234,0.8149942795738715,-2.3311895213013716,-2.4477950005904257,1.1166303509877644,0.9894968151887937
433,"Abrams, CJ",682928,2024,602,21.3,6.6,0.247,0.409,0.319,0.37,33.0,6.9,9.6,24.4,26.6,27.8,4.3,40.7,93.910198048,70.5,18.4,35.4,37.7,62.1,81.3,WSH,17.6,0.0292358803986711,0.8111486880525346,-0.49002338649214605,0.9225591409068901,-0.9485948594739599,-0.5368427027626341
434,"Ibáñez, Andy",628451,2024,244,25.8,6.1,0.214,0.324,0.268,0.324,33.7,4.9,5.5,29.4,35.0,22.7,2.5,33.1,93.096095644,73.6,21.6,32.4,51.3,48.7,78.1,DET,5.2,0.021311475409836068,-1.2078105770528687,1.0461190416144643,-0.09612408895900246,-2.1458445199417686,0.33880058310622463
435,"Chapman, Matt",656305,2024,647,24.4,9.9,0.25,0.451,0.341,0.414,31.3,12.6,8.1,20.5,30.1,24.6,3.1,48.3,96.727633301,63.5,18.9,24.2,36.8,63.2,81.1,SF,26.0,0.0401854714064915,3.1785053394516343,-0.12198699397264154,-0.8974259583799252,0.46296138373510937,-1.7546320454778215
436,"De La Cruz, Bryan",650559,2024,622,27.3,4.7,0.242,0.419,0.302,0.396,35.6,9.3,6.4,25.1,25.5,30.5,2.9,41.3,94.22196445,75.3,22.4,32.6,47.0,53.0,77.6,PIT,18.5,0.0297427652733119,1.2713221700220547,0.5968408412079508,1.4136701672331575,-1.0235582412704656,0.5306760403804204
437,"Julien, Edouard",666397,2024,301,33.9,11.0,0.197,0.351,0.287,0.379,38.4,9.8,7.9,22.6,22.0,34.1,3.7,37.8,93.491651402,63.1,21.9,17.8,63.3,36.7,77.6,MIN,7.0,0.023255813953488372,0.6409323214313166,2.2235329918906683,-1.7877789346641908,1.43620258124932,1.1567497497576167
438,"Ahmed, Nick",605113,2024,228,22.4,4.8,0.226,0.32,0.259,0.309,29.7,3.0,6.1,21.2,26.1,33.9,9.7,23.0,91.729839045,69.6,21.7,36.1,36.0,64.0,76.5,SD,1.9,0.008333333333333333,-3.3782019072997325,0.48847453232944393,1.2247150712387445,-0.6809047626990035,-0.06743152008228587
439,"Anderson, Tim",641313,2024,241,28.2,2.9,0.215,0.283,0.23,0.305,29.5,1.8,4.8,32.5,13.3,44.0,3.0,30.1,92.531306303,71.0,22.8,38.0,45.5,54.5,77.2,MIA,0.3,0.0012448132780082987,-3.259146077801636,0.4534523741104092,2.823100999643151,0.8070843021758762,2.6401803183040804
440,"Bell, Josh",605137,2024,603,19.9,8.5,0.239,0.396,0.31,0.348,31.4,7.6,6.2,21.4,22.6,37.3,4.3,40.1,94.16958744,73.4,18.8,27.4,45.6,54.4,81.2,AZ,21.8,0.03615257048092869,0.4812829311611917,-0.13112247192481843,0.9042984203165645,0.8087887258444237,-0.5778740487085261
441,"Stott, Bryson",681082,2024,571,16.3,9.3,0.254,0.363,0.306,0.324,35.3,3.6,5.2,27.3,30.3,30.6,2.8,30.8,92.631038831,59.6,13.3,28.3,25.0,74.4,86.3,PHI,10.1,0.017688266199649735,-1.4813487741489706,-2.5604891958688127,-1.2605394944252104,-0.3721809470143539,-0.39455322005670534
442,"Murphy, Sean",669221,2024,264,25.4,10.2,0.214,0.399,0.308,0.364,25.7,9.6,4.2,20.4,22.8,37.1,6.0,36.5,94.022077485,62.4,21.1,27.9,45.8,54.2,78.9,ATL,11.1,0.042045454545454546,0.1533853668718488,0.7695344901058343,-0.0410452695565899,1.847607134299374,-0.9478710877053574
443,"Fletcher, Dominic",666150,2024,241,24.1,4.6,0.219,0.282,0.244,0.294,38.7,1.8,3.0,30.4,26.2,29.2,9.5,26.8,91.934485697,61.9,15.1,31.9,33.3,66.0,84.5,CWS,1.1,0.004564315352697096,-3.849276738276221,-0.7326370843837666,-0.46175346663104155,-1.3304264812403814,1.8087558479370682
444,"Santana, Carlos",467793,2024,594,16.7,10.9,0.246,0.415,0.33,0.348,30.9,7.3,6.6,23.1,32.3,27.8,2.6,39.9,94.004167778,64.9,16.6,23.4,40.3,59.7,83.4,MIN,23.2,0.039057239057239054,0.8390193731713538,-1.0547441783365603,-1.3184410378556812,0.14756973353041447,-1.6631548364106086
445,"Jones, Nolan",666134,2024,297,30.6,12.1,0.211,0.322,0.287,0.358,34.3,5.9,6.5,26.6,18.9,34.9,7.1,44.4,94.528500893,55.7,20.5,23.0,38.9,61.1,79.3,COL,4.4,0.014814814814814815,-0.36062186067447544,0.44935193543544427,-1.6381590771084,2.242712839233386,1.2727672798751
446,"Suwinski, Jack",669261,2024,277,28.5,9.7,0.22,0.361,0.292,0.367,28.8,8.8,4.7,22.9,24.1,32.9,5.9,38.2,94.49330497,67.5,18.1,22.9,58.3,41.7,81.7,PIT,9.3,0.03357400722021661,0.2251948485688463,1.2772021688028043,-0.44421990354331675,1.2767932802029307,0.008148317057053295
447,"Trevino, Jose",624431,2024,234,17.5,8.5,0.203,0.312,0.267,0.276,26.9,5.3,3.5,20.5,29.2,38.0,3.5,35.1,93.099578353,53.5,10.3,28.7,31.6,68.4,89.7,NYY,8.3,0.035470085470085476,-2.512838606083483,-1.013776011928887,-0.6337682952254692,1.5441441333052643,-2.295834825698004
448,"Taylor, Michael A.",572191,2024,300,35.0,7.7,0.204,0.333,0.27,0.382,31.4,11.6,1.7,25.6,26.2,26.2,8.1,40.1,94.548357778,68.0,27.1,30.4,66.5,32.4,71.7,PIT,6.0,0.02,0.0010848037522720871,3.1050154253006927,-0.12183304228226836,-0.04027814089035211,1.5341118261697786
449,"Goldschmidt, Paul",502671,2024,654,26.5,7.2,0.255,0.45,0.329,0.423,34.3,10.7,8.9,26.6,22.0,29.0,2.3,49.6,95.666428146,65.1,22.1,29.5,39.7,60.3,77.9,STL,22.8,0.03486238532110092,2.943881652212239,-0.2565572347808422,0.40535620157215374,0.2791654088628546,0.2961266714513444
450,"LeMahieu, DJ",518934,2024,228,15.4,8.3,0.244,0.365,0.299,0.315,31.8,5.8,7.5,22.5,16.2,45.1,2.9,37.6,93.240584302,59.5,8.2,29.1,37.5,62.5,91.1,NYY,1.3,0.005701754385964913,-1.3342040083822326,-2.2276692234849116,0.7393503714007472,2.4028347678197166,-0.19783332370839118
451,"McCormick, Chas",676801,2024,267,27.0,6.4,0.223,0.355,0.285,0.353,32.2,7.5,4.0,24.7,29.3,25.9,8.6,32.8,93.001741775,74.4,24.7,33.6,44.6,54.8,74.4,HOU,5.8,0.021722846441947566,-1.0297682263060555,1.2819449634335636,0.5109388532304888,-1.4765716129037543,0.4669467082721843
452,"Rendon, Anthony",543685,2024,238,14.7,9.7,0.224,0.313,0.286,0.278,31.4,2.3,8.6,23.4,30.3,32.0,2.9,37.1,92.991806897,59.4,8.6,17.4,28.2,71.8,91.4,LAA,1.0,0.004201680672268907,-2.275438081282346,-1.928325929491447,-1.9339319432480244,1.0916660376766492,-1.533880919677414
453,"Kwan, Steven",680757,2024,540,9.4,9.8,0.284,0.385,0.333,0.325,38.5,2.6,5.3,27.8,31.8,28.1,4.4,23.7,91.531639359,57.6,4.3,19.2,20.4,79.6,95.3,CLE,13.2,0.024444444444444442,-1.6668869171199119,-4.641329442537145,-2.6946821071362876,-0.8099896454489467,-0.6569358826980073
454,"Herrera, Iván",671056,2024,259,20.5,9.7,0.293,0.453,0.366,0.426,38.2,9.0,6.7,28.7,16.9,35.4,2.8,42.1,94.599725311,60.0,15.8,26.6,45.9,54.1,84.2,STL,4.9,0.01891891891891892,2.31373211014827,-2.398757841667919,-0.36157819188579643,1.2224586617275106,1.7069896913356577
455,"Olson, Matt",621566,2024,685,24.8,10.4,0.247,0.448,0.341,0.414,35.4,12.4,7.4,23.0,27.6,25.3,3.7,47.4,95.899543218,72.3,22.0,28.7,36.4,63.4,78.0,ATL,29.2,0.04262773722627737,3.135072205502438,0.04993681527980504,-0.18737586613191043,-0.4551367463602195,-0.7104437493334185
456,"Stallings, Jacob",607732,2024,281,23.1,9.6,0.235,0.381,0.318,0.36,38.9,7.2,7.2,27.2,21.1,30.6,5.6,34.4,92.986677006,64.4,20.7,25.3,53.4,46.6,79.3,COL,7.5,0.026690391459074734,0.326977741359183,-0.04935475500957911,-1.0338412762617404,0.13481263934631244,1.4529304875637692
457,"Bart, Joey",663698,2024,282,25.9,7.8,0.247,0.431,0.33,0.408,32.6,9.4,3.3,29.8,21.0,30.9,4.4,38.7,94.605861732,59.6,15.5,26.4,52.1,47.9,83.9,PIT,13.5,0.047872340425531915,1.526402822175544,-0.7812957036546074,-0.514511265870551,0.6621359329403107,0.9897248963138372
458,"Kiermaier, Kevin",595281,2024,281,30.6,4.3,0.195,0.278,0.232,0.31,27.6,3.9,5.0,23.2,19.3,38.1,9.9,30.0,92.874723706,76.3,29.5,33.1,55.7,42.5,69.2,LAD,4.3,0.015302491103202847,-2.8730391541175258,3.031467782288953,2.097415254607541,0.43762243044176663,1.3304850877993
459,"Pasquantino, Vinnie",686469,2024,554,12.8,7.2,0.266,0.438,0.331,0.349,31.9,7.1,8.9,23.2,28.2,30.1,2.5,46.5,94.970921142,66.3,7.5,30.7,28.4,71.6,91.9,KC,22.6,0.040794223826714805,1.2991881670899688,-2.6901524250492868,0.5539167216170344,-0.19393493669743744,-2.093851565060947
460,"Nevin, Tyler",663527,2024,278,23.0,9.0,0.216,0.365,0.296,0.335,37.0,8.7,7.1,19.6,25.5,35.9,1.6,40.8,93.891727514,69.1,19.3,25.9,42.3,57.0,80.5,OAK,6.2,0.022302158273381296,0.19056122654702295,0.3704374537524244,-0.05944056492994142,0.6380524440751352,-0.6235488331335957
461,"Adames, Willy",642715,2024,688,25.1,10.8,0.243,0.461,0.339,0.415,38.2,12.0,8.6,21.4,31.6,21.8,4.5,40.7,94.108759136,71.2,21.1,28.1,50.5,49.2,78.8,MIL,31.8,0.04622093023255814,2.835965380698537,0.696173546021339,-1.0416683404135845,-1.3738113128538958,-0.7077374382308979
462,"Alonso, Pete",624413,2024,695,24.7,10.1,0.242,0.461,0.343,0.414,30.5,13.2,6.6,19.5,25.5,29.5,5.5,46.4,95.699086105,61.0,14.1,25.9,48.1,51.9,85.9,NYM,35.7,0.051366906474820145,2.83252395409111,-0.03970388849639882,-0.6083788801400178,1.1087386525107132,-1.4548565554928732
463,"Paredes, Isaac",670623,2024,641,16.4,11.9,0.22,0.337,0.304,0.295,37.0,4.5,7.2,23.9,35.9,23.0,5.4,27.1,91.952619865,64.7,11.0,26.5,31.1,68.9,89.0,CHC,17.3,0.026989079563182528,-1.7550018642323042,-1.3299718172835016,-2.396023472880853,-1.4579702554382636,-1.3933815556089697
464,"Vaughn, Andrew",683734,2024,619,21.3,6.1,0.244,0.44,0.319,0.378,33.6,9.3,8.4,21.4,30.2,28.7,2.0,43.3,94.702971332,66.7,11.8,33.0,41.6,58.4,88.2,CWS,21.4,0.0345718901453958,1.4603930807188754,-0.7482395873710688,0.6184494357571042,-0.6732471378907282,-1.5235967153769332
465,"Martin, Austin",668885,2024,257,18.3,7.8,0.259,0.341,0.297,0.325,39.4,1.1,5.3,35.1,24.5,28.2,5.9,33.5,92.431606902,69.6,15.4,18.4,46.9,51.9,84.3,MIN,0.9,0.003501945525291829,-1.587303898933718,-1.8288620822249335,-1.4348887519604916,-0.6903726151972034,2.550206158621773
466,"Wisely, Brett",689172,2024,272,23.9,4.8,0.215,0.313,0.255,0.309,29.7,5.2,3.6,23.4,32.3,28.1,5.7,31.6,92.51248388,67.1,13.2,30.9,44.5,54.8,85.6,SF,5.1,0.01875,-2.5745108508706425,0.3151705973590332,0.16532448915709294,-0.9296948190841161,-0.713791044963788
467,"Benson, Will",666181,2024,388,39.7,10.3,0.18,0.333,0.268,0.392,36.5,11.5,4.7,23.4,30.7,25.5,4.2,40.1,94.123444,71.2,31.6,22.0,65.1,33.7,68.4,CIN,12.8,0.032989690721649485,0.9487582980324767,4.2247391494153055,-1.5395124959469109,-0.271228249258904,0.9569597119998722
468,"Bleday, JJ",668709,2024,642,19.5,10.4,0.242,0.4,0.319,0.352,37.1,8.3,7.1,24.3,32.4,25.2,2.7,36.2,93.527316345,67.8,17.0,24.7,49.1,50.3,82.5,OAK,21.7,0.0338006230529595,0.824865558731495,-0.41173139498149997,-1.4538913394318194,-0.8714449628549854,-0.604471418978612
469,"Bruján, Vidal",660644,2024,278,19.4,9.0,0.216,0.282,0.262,0.277,29.7,1.5,4.1,23.6,23.1,39.5,7.7,22.6,91.616436508,73.9,17.0,28.3,45.1,54.9,82.5,MIA,1.8,0.006474820143884892,-3.8985415690486294,0.00018206359699779462,0.4581033484738902,0.6053114356454837,0.4334624591700083
470,"Refsnyder, Rob",608701,2024,307,25.4,9.1,0.252,0.412,0.326,0.399,32.8,9.7,4.6,27.7,21.5,31.3,4.6,43.1,95.034267165,65.9,20.1,24.7,51.4,48.6,79.2,BOS,9.5,0.030944625407166124,1.61660131754882,-0.19549368212508422,-0.3093066930441166,0.8734816562289773,1.0100353226116279
471,"Caratini, Victor",605170,2024,274,19.3,8.4,0.262,0.395,0.322,0.362,35.9,5.6,6.2,27.2,23.1,36.4,1.5,43.1,94.888518923,67.5,15.3,25.8,45.0,55.0,84.7,HOU,7.3,0.02664233576642336,0.935114467894813,-1.5385256229954247,0.17644087867482885,0.7403501335174475,0.49212100419357535
472,"Meadows, Parker",678009,2024,298,25.5,8.4,0.229,0.378,0.298,0.362,34.7,7.7,6.1,23.0,34.7,23.5,4.6,32.3,93.056795751,65.9,16.4,25.8,53.1,46.9,83.1,DET,10.0,0.03355704697986577,-0.043226417691252406,0.6071099342590451,-1.3986274226717068,-1.1966061040355742,-0.637098794012039
473,"Gordon, Nick",624503,2024,275,24.4,4.0,0.218,0.351,0.263,0.327,34.7,6.1,3.1,23.0,20.4,42.3,4.1,29.6,92.321775928,78.6,23.1,42.4,47.3,52.7,76.4,MIA,5.7,0.02072727272727273,-1.87410692692948,0.8202797011333438,3.136112869020145,-0.6138032319445361,0.9783458041642076
474,"Palacios, Richie",680700,2024,316,21.2,14.2,0.249,0.342,0.325,0.346,36.4,3.5,4.5,29.3,27.3,31.3,3.5,30.3,92.444278274,70.7,18.2,23.5,43.8,55.6,81.8,TB,3.8,0.012025316455696202,-0.8852329184032239,-1.1734618435724122,-1.8006319069646166,0.0613707906483946,1.1886833301283117
475,"Rortvedt, Ben",666163,2024,328,26.8,10.4,0.202,0.287,0.267,0.303,30.2,3.5,3.0,27.2,26.7,34.7,4.5,30.7,92.49508965,58.9,17.6,27.8,45.1,53.4,81.6,TB,2.7,0.008231707317073171,-2.849068524150884,0.2652341463725187,-1.231915939040597,1.08254411164145,0.6131685480856048
476,"Contreras, William",661388,2024,679,20.5,11.5,0.269,0.471,0.358,0.411,29.0,10.0,7.8,23.5,17.4,39.2,2.0,49.5,96.642602527,71.0,19.3,25.6,49.2,50.8,80.7,MIL,23.2,0.03416789396170839,3.270938343071896,-0.8396388942658369,0.8985213916929439,2.3896533206634194,-0.18999384110051948
477,"Contreras, Willson",575929,2024,358,26.8,12.6,0.258,0.455,0.365,0.447,32.7,11.2,6.8,27.8,22.9,28.8,2.4,46.8,96.17214078,71.2,22.2,29.9,63.6,36.4,77.8,STL,14.3,0.03994413407821229,3.8564430958021285,0.4210740851651269,-0.11041009905747466,0.6151954568783887,0.8911409440532951
478,"Duvall, Adam",594807,2024,330,30.0,6.4,0.197,0.387,0.283,0.368,27.8,10.7,4.9,19.5,37.6,20.5,6.8,36.6,93.950920683,65.4,15.8,33.5,49.8,50.2,84.2,ATL,14.9,0.04515151515151515,0.018477710977284456,1.910422110307376,-0.3596141601789702,-1.438614981276523,-2.076249125013259
479,"Alvarez, Yordan",670541,2024,635,15.0,10.9,0.303,0.595,0.411,0.457,35.4,14.5,7.6,24.5,30.6,19.5,3.3,49.7,96.703519522,68.0,11.1,30.5,36.5,63.5,88.5,HOU,29.6,0.04661417322834646,5.293345657232377,-2.9091148308480608,-0.5174315866796829,-1.1140425378034664,-1.479639656850495
480,"Soto, Juan",665742,2024,713,16.7,18.1,0.316,0.646,0.462,0.517,35.4,19.7,6.3,22.6,18.2,28.9,4.1,57.0,97.994705143,59.0,15.2,18.3,39.3,59.3,84.3,NYY,47.8,0.0670406732117812,8.004035249288165,-3.1312463580770373,-2.1285388321213796,2.4557297067737958,-0.8632909308688248
